,iso3,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
89,NIC,2010,75.1276,Nicaragua,2970655.0,112.0,1.828,0
90,PAN,2010,79.7333,Panamá,1806799.0,79.0,1.867,0
91,PER,2010,75.9302,Perú,14684090.0,104.0,2.016,139.0
92,PRY,2010,74.7663,Paraguay,2864220.0,108.0,1.959,27.0
93,SLV,2010,76.2132,El Salvador,3191359.0,54.0,2.121,0
94,SUR,2010,73.5869,Suriname,271788.0,148.0,0,0
95,TTO,2010,76.1383,Trinidad y Tobago,714240.0,71.0,2.119,18.0
96,URY,2010,80.8967,Uruguay,1735600.0,17.0,1.664,35.0
97,VCT,2010,77.55,San Vicente y las Granadinas,53341.0,63.0,0,0
98,VEN,2010,77.1395,Venezuela,14393135.0,117.0,2.419,0
99,ARG,2011,79.3224,Argentina,20865767.0,48.0,1.879,0
100,ATG,2011,79.7063,Antigua y Barbuda,45588.0,43.0,0,0
101,BHS,2011,75.7623,Bahamas,195497.0,78.0,0,0
102,BLZ,2011,75.6775,Belice,164408.0,52.0,0,0
103,BOL,2011,69.0885,Bolivia,5159435.0,202.0,1.942,0
104,BRA,2011,76.6512,Brasil,100509285.0,61.0,2.005,0
105,BRB,2011,77.8687,Barbados,143988.0,35.0,0,0
106,CHL,2011,81.6841,Chile,8651769.0,18.0,1.722,0
107,COL,2011,78.5479,Colombia,22903701.0,84.0,2.598,0
108,CRI,2011,81.7106,Costa Rica,2330459.0,30.0,1.781,42.0
109,CUB,2011,80.0634,Cuba,5659068.0,38.0,2.041,0
110,DMA,2011,72.9735,Dominica,34025.0,0,0,0.0
111,DOM,2011,75.8556,República Dominicana,4898563.0,95.0,2.094,233.0
112,ECU,2011,78.6754,Ecuador,7615672.0,76.0,2.063,0
113,GRD,2011,78.0668,Granada,56934.0,28.0,0,0
114,GTM,2011,74.5251,Guatemala,7324691.0,122.0,2.159,0
115,GUY,2011,70.5182,Guyana,374340.0,180.0,2.08,0
116,HND,2011,73.7758,Honduras,4261105.0,72.0,2.232,335.0
117,HTI,2011,64.1256,Haití,5006574.0,496.0,2.026,0
118,JAM,2011,74.9973,Jamaica,1384402.0,79.0,2.041,0
119,KNA,2011,74.6136,Saint Kitts y Nevis,24200.0,0,0,0
120,LCA,2011,75.7958,Santa Lucía,86305.0,116.0,0,4.0
121,MEX,2011,77.3107,México,58268408.0,43.0,2.326,0
122,NIC,2011,75.5281,Nicaragua,3014669.0,110.0,1.865,0
123,PAN,2011,79.8706,Panamá,1839763.0,76.0,1.811,0
124,PER,2011,76.2984,Perú,14829974.0,102.0,1.98,123.0
125,PRY,2011,74.9344,Paraguay,2902421.0,103.0,1.917,32.0
126,SLV,2011,76.1894,El Salvador,3203792.0,53.0,2.141,0
127,SUR,2011,73.612,Suriname,275035.0,139.0,0,0
128,TTO,2011,76.41,Trinidad y Tobago,719388.0,72.0,2.096,8.0
129,URY,2011,81.0323,Uruguay,1739923.0,17.0,1.571,26.0
130,VCT,2011,77.3177,San Vicente y las Granadinas,53026.0,64.0,0,0
131,VEN,2011,77.1003,Venezuela,14591553.0,116.0,2.421,0
132,ARG,2012,79.9531,Argentina,21099001.0,47.0,1.867,0
133,ATG,2012,79.9614,Antigua y Barbuda,46022.0,44.0,0,0
134,BHS,2012,75.9225,Bahamas,197810.0,78.0,0,0
135,BLZ,2012,76.1299,Belice,167988.0,50.0,0,0
136,BOL,2012,69.3124,Bolivia,5247336.0,192.0,1.998,0
137,BRA,2012,76.8691,Brasil,101450818.0,60.0,1.965,0
138,BRB,2012,78.0313,Barbados,144282.0,34.0,0,0
139,CHL,2012,81.5956,Chile,8736586.0,17.0,1.643,0
140,COL,2012,78.7871,Colombia,23149997.0,85.0,2.602,0
141,CRI,2012,81.6199,Costa Rica,2359193.0,29.0,1.719,26.0
142,CUB,2012,80.1224,Cuba,5666230.0,39.0,2.076,0
143,DMA,2012,73.2151,Dominica,34127.0,0,0,1.0
144,DOM,2012,76.1656,República Dominicana,4965013.0,94.0,2.045,196.0
145,ECU,2012,78.8422,Ecuador,7739326.0,71.0,2.035,
146,GRD,2012,77.8947,Granada,57486.0,28.0,0,0
147,GTM,2012,74.7313,Guatemala,7457240.0,118.0,2.202,0
148,GUY,2012,70.8136,Guyana,374465.0,185.0,1.956,0
149,HND,2012,74.1692,Honduras,4345369.0,70.0,2.247,319.0
150,HTI,2012,64.8042,Haití,5084975.0,500.0,1.976,0
151,JAM,2012,74.8192,Jamaica,1390918.0,79.0,2.102,0
152,KNA,2012,74.7947,Saint Kitts y Nevis,24290.0,0,0,0
153,LCA,2012,75.7236,Santa Lucía,86816.0,116.0,0,1.0
154,MEX,2012,77.5347,México,59081795.0,41.0,2.423,0
155,NIC,2012,75.7071,Nicaragua,3059293.0,108.0,1.928,0
156,PAN,2012,79.9911,Panamá,1873251.0,74.0,1.854,0
157,PER,2012,76.6832,Perú,14984154.0,100.0,2.017,122.0
158,PRY,2012,75.2484,Paraguay,2942591.0,98.0,1.963,36.0
159,SLV,2012,76.163,El Salvador,3216582.0,52.0,2.201,0
160,SUR,2012,73.3464,Suriname,278227.0,134.0,0,0
161,TTO,2012,76.7041,Trinidad y Tobago,724786.0,71.0,2.16,10.0
162,URY,2012,81.1651,Uruguay,1744447.0,17.0,1.602,26.0
163,VCT,2012,77.0456,San Vicente y las Granadinas,52710.0,71.0,0,0
