,iso3,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
389,PRY,2019,76.441,Paraguay,3249592.0,84.0,2.096,37.0
390,SLV,2019,76.7759,El Salvador,3287678.0,46.0,2.222,113.0
391,SUR,2019,75.6803,Suriname,300864.0,120.0,0,0
392,TTO,2019,77.6973,Trinidad y Tobago,768058.0,67.0,2.045,20.0
393,URY,2019,81.2959,Uruguay,1769262.0,17.0,1.679,25.0
394,VCT,2019,75.5799,San Vicente y las Granadinas,51288.0,68.0,0,0
395,VEN,2019,76.5658,Venezuela,14605811.0,125.0,2.734,0
396,ARG,2020,79.2846,Argentina,22911069.0,39.0,1.948,251.0
397,ATG,2020,81.3155,Antigua y Barbuda,48428.0,42.0,0,0
398,BHS,2020,76.2696,Bahamas,211965.0,70.0,0,0
399,BLZ,2020,76.6257,Belice,196111.0,36.0,0,0
400,BOL,2020,67.8408,Bolivia,5943886.0,155.0,2.037,113.0
401,BRA,2020,77.3747,Brasil,108417015.0,60.0,2.446,1596.0
402,BRB,2020,79.2095,Barbados,146165.0,27.0,0,0
403,CHL,2020,82.0406,Chile,9720358.0,13.0,1.815,43.0
404,COL,2020,78.1362,Colombia,25791075.0,83.0,2.663,187.0
405,CRI,2020,81.9122,Costa Rica,2558483.0,27.0,1.709,28.0
406,CUB,2020,80.2255,Cuba,5683880.0,36.0,2.048,0
407,DMA,2020,77.2597,Dominica,36112.0,0,0,0
408,DOM,2020,76.9139,República Dominicana,5472181.0,95.0,1.961,134.0
409,ECU,2020,76.0557,Ecuador,8798448.0,59.0,2.031,77.0
410,GRD,2020,77.8688,Granada,61746.0,25.0,0,0
411,GTM,2020,75.545,Guatemala,8509834.0,95.0,2.155,118.0
412,GUY,2020,72.118,Guyana,407303.0,169.0,2.065,0
413,HND,2020,73.9873,Honduras,5008783.0,65.0,2.206,227.0
414,HTI,2020,67.1177,Haití,5701407.0,480.0,2.132,0
415,JAM,2020,73.9185,Jamaica,1420767.0,80.0,1.972,0
416,KNA,2020,75.2665,Saint Kitts y Nevis,24570.0,0,0,0
417,LCA,2020,77.055,Santa Lucía,90411.0,117.0,0,0
418,MEX,2020,74.3136,México,64410851.0,33.0,2.565,948.0
419,NIC,2020,75.012,Nicaragua,3426548.0,98.0,2.32,0
420,PAN,2020,80.0343,Panamá,2145526.0,52.0,1.87,31.0
421,PER,2020,76.8162,Perú,16805323.0,88.0,1.993,137.0
422,PRY,2020,76.1558,Paraguay,3294711.0,84.0,2.005,36.0
423,SLV,2020,75.413,El Salvador,3295300.0,46.0,2.224,73.0
424,SUR,2020,75.981,Suriname,304409.0,120.0,0,0
425,TTO,2020,77.8806,Trinidad y Tobago,768972.0,67.0,2.016,22.0
426,URY,2020,81.911,Uruguay,1768921.0,17.0,1.688,19.0
427,VCT,2020,74.9442,San Vicente y las Granadinas,51199.0,68.0,0,0
428,VEN,2020,75.8142,Venezuela,14376694.0,125.0,2.701,0
429,ARG,2021,78.6471,Argentina,23130548.0,39.0,1.926,231.0
430,ATG,2021,80.9411,Antigua y Barbuda,48709.0,42.0,0,0
431,BHS,2021,75.0957,Bahamas,212878.0,70.0,0,0
432,BLZ,2021,74.3322,Belice,198800.0,36.0,0,7.0
433,BOL,2021,66.7999,Bolivia,6020925.0,155.0,2.018,108.0
434,BRA,2021,76.0086,Brasil,109034931.0,60.0,2.403,1900.0
435,BRB,2021,79.3594,Barbados,146366.0,27.0,0,0
436,CHL,2021,81.4368,Chile,9818163.0,13.0,1.787,44.0
437,COL,2021,76.4421,Colombia,26101321.0,83.0,2.689,210.0
438,CRI,2021,79.8106,Costa Rica,2575216.0,27.0,1.718,18.0
439,CUB,2021,76.3585,Cuba,5667114.0,36.0,2.05,0
440,DMA,2021,76.3013,Dominica,36373.0,0,0,0
441,DOM,2021,76.2914,República Dominicana,5535650.0,95.0,1.972,150.0
442,ECU,2021,77.4619,Ecuador,8910903.0,59.0,2.012,71.0
443,GRD,2021,77.8979,Granada,62254.0,25.0,0,0
444,GTM,2021,72.6514,Guatemala,8639673.0,95.0,2.166,138.0
445,GUY,2021,69.1042,Guyana,410932.0,169.0,2.119,0
446,HND,2021,72.5341,Honduras,5087643.0,65.0,2.308,234.0
447,HTI,2021,66.1191,Haití,5774718.0,480.0,2.068,0
448,JAM,2021,72.543,Jamaica,1424743.0,80.0,1.97,0
449,KNA,2021,75.3413,Saint Kitts y Nevis,24591.0,0,0,0
450,LCA,2021,74.7166,Santa Lucía,90712.0,117.0,0,0
451,MEX,2021,74.8637,México,64849001.0,33.0,2.625,1015.0
452,NIC,2021,76.8026,Nicaragua,3474910.0,98.0,2.338,0
453,PAN,2021,79.594,Panamá,2174744.0,52.0,1.883,22.0
454,PER,2021,74.7462,Perú,17020361.0,88.0,2.022,136.0
455,PRY,2021,73.3847,Paraguay,3338534.0,84.0,2.005,35.0
456,SLV,2021,75.1492,El Salvador,3307476.0,46.0,2.18,80.0
457,SUR,2021,73.5513,Suriname,307598.0,120.0,0,0
458,TTO,2021,76.4032,Trinidad y Tobago,772874.0,67.0,2.024,0
459,URY,2021,79.2583,Uruguay,1766768.0,17.0,1.782,26.0
460,VCT,2021,72.3958,San Vicente y las Granadinas,51123.0,68.0,0,0
461,VEN,2021,75.2072,Venezuela,14243056.0,125.0,2.757,0
